Project,Bug ID,Line Number, Suspiciousness Score
Closure,96,1,0.0000
Closure,96,2,0.0000
Closure,96,3,0.0000
Closure,96,4,0.0000
Closure,96,5,0.0000
Closure,96,6,0.0000
Closure,96,7,0.0000
Closure,96,8,0.0000
Closure,96,9,0.0000
Closure,96,10,0.0000
Closure,96,11,0.0000
Closure,96,12,0.0000
Closure,96,13,0.0000
Closure,96,14,0.0000
Closure,96,15,0.0000
Closure,96,16,0.0000
Closure,96,17,0.0000
Closure,96,18,0.0000
Closure,96,19,0.0000
Closure,96,20,0.0000
Closure,96,21,0.0000
Closure,96,22,0.0000
Closure,96,23,0.0000
Closure,96,24,0.0000
Closure,96,25,0.0000
Closure,96,26,0.0000
Closure,96,27,0.0000
Closure,96,28,0.0000
Closure,96,29,0.0000
Closure,96,30,0.0000
Closure,96,31,0.0000
Closure,96,32,0.0000
Closure,96,33,0.0000
Closure,96,34,0.0000
Closure,96,35,0.0000
Closure,96,36,0.0000
Closure,96,37,0.0000
Closure,96,38,0.0000
Closure,96,39,0.0000
Closure,96,40,0.0000
Closure,96,41,0.0000
Closure,96,42,0.0000
Closure,96,43,0.0000
Closure,96,44,0.0000
Closure,96,45,0.0000
Closure,96,46,0.0000
Closure,96,47,0.0000
Closure,96,48,0.0000
Closure,96,49,0.0000
Closure,96,50,0.0000
Closure,96,51,0.0000
Closure,96,52,0.0000
Closure,96,53,0.0000
Closure,96,54,0.0000
Closure,96,55,0.0000
Closure,96,56,0.0000
Closure,96,57,0.0000
Closure,96,58,0.0000
Closure,96,59,0.0000
Closure,96,60,0.2530
Closure,96,61,0.0000
Closure,96,62,0.0000
Closure,96,63,0.0000
Closure,96,64,0.0000
Closure,96,65,0.0000
Closure,96,66,0.0000
Closure,96,67,0.0000
Closure,96,68,0.2530
Closure,96,69,0.0000
Closure,96,70,0.0000
Closure,96,71,0.0000
Closure,96,72,0.0000
Closure,96,73,0.0000
Closure,96,74,0.0000
Closure,96,75,0.0000
Closure,96,76,0.0000
Closure,96,77,0.0000
Closure,96,78,0.0000
Closure,96,79,0.0000
Closure,96,80,0.0000
Closure,96,81,0.0000
Closure,96,82,0.0000
Closure,96,83,0.0000
Closure,96,84,0.2530
Closure,96,85,0.0000
Closure,96,86,0.0000
Closure,96,87,0.0000
Closure,96,88,0.0000
Closure,96,89,0.0000
Closure,96,90,0.0000
Closure,96,91,0.2530
Closure,96,92,0.0000
Closure,96,93,0.0000
Closure,96,94,0.0000
Closure,96,95,0.0000
Closure,96,96,0.0000
Closure,96,97,0.0000
Closure,96,98,0.2530
Closure,96,99,0.0000
Closure,96,100,0.0000
Closure,96,101,0.0000
Closure,96,102,0.0000
Closure,96,103,0.0000
Closure,96,104,0.0000
Closure,96,105,0.2530
Closure,96,106,0.0000
Closure,96,107,0.0000
Closure,96,108,0.0000
Closure,96,109,0.0000
Closure,96,110,0.2530
Closure,96,111,0.0000
Closure,96,112,0.0000
Closure,96,113,0.0000
Closure,96,114,0.0000
Closure,96,115,0.2530
Closure,96,116,0.0000
Closure,96,117,0.0000
Closure,96,118,0.0000
Closure,96,119,0.0000
Closure,96,120,0.2530
Closure,96,121,0.0000
Closure,96,122,0.0000
Closure,96,123,0.0000
Closure,96,124,0.0000
Closure,96,125,0.2530
Closure,96,126,0.0000
Closure,96,127,0.0000
Closure,96,128,0.0000
Closure,96,129,0.0000
Closure,96,130,0.2530
Closure,96,131,0.0000
Closure,96,132,0.0000
Closure,96,133,0.0000
Closure,96,134,0.0000
Closure,96,135,0.2530
Closure,96,136,0.0000
Closure,96,137,0.0000
Closure,96,138,0.0000
Closure,96,139,0.2530
Closure,96,140,0.0000
Closure,96,141,0.0000
Closure,96,142,0.2530
Closure,96,143,0.0000
Closure,96,144,0.0000
Closure,96,145,0.0000
Closure,96,146,0.2530
Closure,96,147,0.0000
Closure,96,148,0.0000
Closure,96,149,0.0000
Closure,96,150,0.0000
Closure,96,151,0.0000
Closure,96,152,0.2530
Closure,96,153,0.0000
Closure,96,154,0.0000
Closure,96,155,0.0000
Closure,96,156,0.0000
Closure,96,157,0.2530
Closure,96,158,0.0000
Closure,96,159,0.0000
Closure,96,160,0.0000
Closure,96,161,0.0000
Closure,96,162,0.0000
Closure,96,163,0.0000
Closure,96,164,0.2530
Closure,96,165,0.0000
Closure,96,166,0.0000
Closure,96,167,0.0000
Closure,96,168,0.0000
Closure,96,169,0.2530
Closure,96,170,0.0000
Closure,96,171,0.0000
Closure,96,172,0.0000
Closure,96,173,0.0000
Closure,96,174,0.0000
Closure,96,175,0.2530
Closure,96,176,0.0000
Closure,96,177,0.0000
Closure,96,178,0.0000
Closure,96,179,0.0000
Closure,96,180,0.0000
Closure,96,181,0.2530
Closure,96,182,0.0000
Closure,96,183,0.0000
Closure,96,184,0.0000
Closure,96,185,0.0000
Closure,96,186,0.0000
Closure,96,187,0.0000
Closure,96,188,0.2530
Closure,96,189,0.0000
Closure,96,190,0.0000
Closure,96,191,0.0000
Closure,96,192,0.0000
Closure,96,193,0.0000
Closure,96,194,0.0000
Closure,96,195,0.0000
Closure,96,196,0.2530
Closure,96,197,0.0000
Closure,96,198,0.0000
Closure,96,199,0.0000
Closure,96,200,0.0000
Closure,96,201,0.2530
Closure,96,202,0.0000
Closure,96,203,0.0000
Closure,96,204,0.0000
Closure,96,205,0.0000
Closure,96,206,0.2530
Closure,96,207,0.0000
Closure,96,208,0.0000
Closure,96,209,0.0000
Closure,96,210,0.2530
Closure,96,211,0.0000
Closure,96,212,0.0000
Closure,96,213,0.0000
Closure,96,214,0.2530
Closure,96,215,0.0000
Closure,96,216,0.0000
Closure,96,217,0.0000
Closure,96,218,0.0000
Closure,96,219,0.0000
Closure,96,220,0.2530
Closure,96,221,0.0000
Closure,96,222,0.0000
Closure,96,223,0.0000
Closure,96,224,0.0000
Closure,96,225,0.0000
Closure,96,226,0.2530
Closure,96,227,0.0000
Closure,96,228,0.0000
Closure,96,229,0.0000
Closure,96,230,0.0000
Closure,96,231,0.0000
Closure,96,232,0.0000
Closure,96,233,0.0000
Closure,96,234,0.0000
Closure,96,235,0.0000
Closure,96,236,0.0000
Closure,96,237,0.0000
Closure,96,238,0.0000
Closure,96,239,0.0000
Closure,96,240,0.0000
Closure,96,241,0.0000
Closure,96,242,0.0000
Closure,96,243,0.0000
Closure,96,244,0.0000
Closure,96,245,0.0000
Closure,96,246,0.0000
Closure,96,247,0.0000
Closure,96,248,0.0000
Closure,96,249,0.0000
Closure,96,250,0.0000
Closure,96,251,0.0000
Closure,96,252,0.0000
Closure,96,253,0.0000
Closure,96,254,0.0000
Closure,96,255,0.0000
Closure,96,256,0.0000
Closure,96,257,0.0000
Closure,96,258,0.0000
Closure,96,259,0.0000
Closure,96,260,0.0000
Closure,96,261,0.0000
Closure,96,262,0.0000
Closure,96,263,0.0000
Closure,96,264,0.0000
Closure,96,265,0.0000
Closure,96,266,0.0000
Closure,96,267,0.0000
Closure,96,268,0.0000
Closure,96,269,0.5357
Closure,96,270,0.0000
Closure,96,271,0.5357
Closure,96,272,0.0000
Closure,96,273,0.0000
Closure,96,274,0.5357
Closure,96,275,0.5357
Closure,96,276,0.5357
Closure,96,277,0.0000
Closure,96,278,0.0000
Closure,96,279,0.0000
Closure,96,280,0.0000
Closure,96,281,0.5357
Closure,96,282,0.0000
Closure,96,283,0.0000
Closure,96,284,0.0000
Closure,96,285,0.0000
Closure,96,286,0.0000
Closure,96,287,0.0000
Closure,96,288,0.0000
Closure,96,289,0.5357
Closure,96,290,0.5357
Closure,96,291,0.5357
Closure,96,292,0.5357
Closure,96,293,0.5357
Closure,96,294,0.5357
Closure,96,295,0.5357
Closure,96,296,0.5357
Closure,96,297,0.5357
Closure,96,298,0.5357
Closure,96,299,0.5357
Closure,96,300,0.0000
Closure,96,301,0.0000
Closure,96,302,0.0000
Closure,96,303,0.0000
Closure,96,304,0.0000
Closure,96,305,0.0000
Closure,96,306,0.5580
Closure,96,307,0.0000
Closure,96,308,0.5580
Closure,96,309,0.0000
Closure,96,310,0.0000
Closure,96,311,0.0000
Closure,96,312,0.0000
Closure,96,313,0.0000
Closure,96,314,0.0000
Closure,96,315,0.0000
Closure,96,316,0.0000
Closure,96,317,0.0000
Closure,96,318,0.0000
Closure,96,319,0.0000
Closure,96,320,0.0000
Closure,96,321,0.0000
Closure,96,322,0.0000
Closure,96,323,0.0000
Closure,96,324,0.0000
Closure,96,325,0.0000
Closure,96,326,0.0000
Closure,96,327,0.0000
Closure,96,328,0.0000
Closure,96,329,0.0000
Closure,96,330,0.0000
Closure,96,331,0.5357
Closure,96,332,0.5357
Closure,96,333,0.0000
Closure,96,334,0.5357
Closure,96,335,0.5357
Closure,96,336,0.5357
Closure,96,337,0.0000
Closure,96,338,0.0000
Closure,96,339,0.5357
Closure,96,340,0.5452
Closure,96,341,0.0000
Closure,96,342,0.5357
Closure,96,343,0.5357
Closure,96,344,0.0000
Closure,96,345,0.0000
Closure,96,346,0.0000
Closure,96,347,0.5408
Closure,96,348,0.5408
Closure,96,349,0.0000
Closure,96,350,0.5408
Closure,96,351,0.5408
Closure,96,352,0.0000
Closure,96,353,0.5408
Closure,96,354,0.5408
Closure,96,355,0.0000
Closure,96,356,0.5408
Closure,96,357,0.0000
Closure,96,358,0.0000
Closure,96,359,0.5408
Closure,96,360,0.5408
Closure,96,361,0.0000
Closure,96,362,0.5408
Closure,96,363,0.0000
Closure,96,364,0.0000
Closure,96,365,0.0000
Closure,96,366,0.0000
Closure,96,367,0.5357
Closure,96,368,0.0000
Closure,96,369,0.5357
Closure,96,370,0.5357
